gene_set	signature_id	candidate_ids	expressed_ids	status
HRD_GENE_NEGATIVE	ENSG00000203772	503542	503542	matched
HRD_GENE_NEGATIVE	ENSG00000163209	6707	""	not_in_expression_universe
HRD_GENE_NEGATIVE	ENSG00000136011	55576	55576	matched
HRD_GENE_NEGATIVE	ENSG00000117614	25949	25949	matched
HRD_GENE_NEGATIVE	ENSG00000197780	6884	6884	matched
HRD_GENE_NEGATIVE	ENSG00000103168	9013	9013	matched
HRD_GENE_NEGATIVE	ENSG00000150779	26521	26521	matched
HRD_GENE_NEGATIVE	ENSG00000198270	89894	89894	matched
HRD_GENE_NEGATIVE	ENSG00000157111	134285	134285	matched
HRD_GENE_NEGATIVE	ENSG00000175606	54968	54968	matched
HRD_GENE_NEGATIVE	ENSG00000141510	7157	7157	matched
HRD_GENE_NEGATIVE	ENSG00000253771	""	""	unmapped_annotation
HRD_GENE_NEGATIVE	ENSG00000196655	51399	51399	matched
HRD_GENE_NEGATIVE	ENSG00000110171	10612	10612	matched
HRD_GENE_NEGATIVE	ENSG00000168930	57093	""	not_in_expression_universe
HRD_GENE_NEGATIVE	ENSG00000132256	85363	85363	matched
HRD_GENE_NEGATIVE	ENSG00000158022	84676	84676	matched
HRD_GENE_NEGATIVE	ENSG00000179981	10194	10194	matched
HRD_GENE_NEGATIVE	ENSG00000012963	55148	55148	matched
HRD_GENE_NEGATIVE	ENSG00000158062	91544	91544	matched
HRD_GENE_NEGATIVE	ENSG00000109775	55325	55325	matched
HRD_GENE_NEGATIVE	ENSG00000136100	51028	51028	matched
HRD_GENE_NEGATIVE	ENSG00000166887	23339	23339	matched
HRD_GENE_NEGATIVE	ENSG00000112290	8936	8936	matched
HRD_GENE_NEGATIVE	ENSG00000164091	80335	80335	matched
HRD_GENE_NEGATIVE	ENSG00000061492	7478	""	not_in_expression_universe
HRD_GENE_NEGATIVE	ENSG00000033030	55596	55596	matched
HRD_GENE_NEGATIVE	ENSG00000186918	55893	55893	matched
HRD_GENE_NEGATIVE	ENSG00000215421	55628	55628	matched
HRD_GENE_NEGATIVE	ENSG00000164048	51385	51385	matched
